location,latitude,longitude,display_name
"Oklahoma City, Oklahoma, USA",35.4729886,-97.5170536,"Oklahoma City, Oklahoma County, Oklahoma, United States of America"
"Omaha, Nebraska, USA",41.2587459,-95.9383758,"Omaha, Douglas County, Nebraska, United States of America"
"Orlando, Florida, USA",28.5421109,-81.3790304,"Orlando, Orange County, Florida, United States of America"
"Ottawa, Ontario, Canada",45.4208777,-75.6901106,"Ottawa, Eastern Ontario, Ontario, Canada"
"Paris, Ile-de-France, France",48.8534951,2.3483915,"Paris, Île-de-France, France métropolitaine, France"
"Perth, Western Australia, Australia",-31.9558967,115.8605784,"Perth, City of Perth, Western Australia, 6000, Australia"
"Philadelphia, Pennsylvania, USA",39.9527237,-75.1635262,"Philadelphia, Philadelphia County, Pennsylvania, United States of America"
"Phoenix, Arizona, USA",33.4484367,-112.074141,"Phoenix, Maricopa County, Arizona, United States of America"
"Pittsburgh, Pennsylvania, USA",40.4416941,-79.9900861,"Pittsburgh, Allegheny County, Pennsylvania, United States of America"
"Portland, Oregon, USA",45.5202471,-122.674194,"Portland, Multnomah County, Oregon, United States of America"
"Porto Alegre, Rio Grande do Sul, Brazil",-30.0324999,-51.2303767,"Porto Alegre, Região Geográfica Imediata de Porto Alegre, Região Metropolitana de Porto Alegre, Região Geográfica Intermediária de Porto Alegre, Rio Grande do Sul, Região Sul, Brasil"
"Prague, Czech Republic",50.0874654,14.4212535,"Hlavní město Praha, Praha, Česko"
"Quebec City, Quebec, Canada",46.8137431,-71.2084061,"Québec, Agglomération de Québec, Capitale-Nationale, Québec, Canada"
"Raleigh, North Carolina, USA",35.7803977,-78.6390989,"Raleigh, Wake County, North Carolina, United States of America"
"Rio Rancho, New Mexico, USA",35.2702448,-106.6329806,"Rio Rancho, Sandoval County, New Mexico, United States of America"
"Rio de Janeiro, Brazil",-22.9110137,-43.2093727,"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil"
"Rio de Janeiro, Rio de Janeiro, Brazil",-22.9110137,-43.2093727,"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil"
"Riyadh, Riyadh, Saudi Arabia",24.638916,46.7160104,"الرياض, محافظة الرياض, منطقة الرياض, 11131, السعودية"
"Rochester, New York, USA",43.157285,-77.615214,"City of Rochester, Monroe County, New York, United States of America"
"Rosemont, Illinois, USA",41.9941334,-87.8756737,"Rosemont, Leyden Township, Cook County, Illinois, 60018, United States of America"
"Rotterdam, Zuid-Holland, Netherlands",51.9244424,4.47775,"Rotterdam, Zuid-Holland, Nederland"
"Sacramento, California, USA",38.5810606,-121.493895,"Sacramento, Sacramento County, California, United States of America"
"Saint Petersburg, Saint Petersburg, Russia",59.938732,30.316229,"Санкт-Петербург, Северо-Западный федеральный округ, Россия"
"Saitama, Japan",35.9754168,139.4160114,"埼玉県, 日本"
"Saitama, Saitama, Japan",35.8616402,139.6457957,"さいたま市, 埼玉県, 日本"
"Salt Lake City, Utah, USA",40.7596198,-111.886797,"Salt Lake City, Salt Lake County, Utah, United States of America"
"San Antonio, Texas, USA",29.4246002,-98.4951405,"San Antonio, Bexar County, Texas, United States of America"
"San Diego, California, USA",32.7174202,-117.162772,"San Diego, San Diego County, California, United States of America"
"San Jose, California, USA",37.3361663,-121.890591,"San Jose, Santa Clara County, California, United States of America"
"San Juan, Puerto Rico",18.3842391,-66.05344,"San Juan, Puerto Rico, United States of America"
"Santiago, Chile",-33.4377756,-70.6504502,"Santiago, Provincia de Santiago, Región Metropolitana de Santiago, 8320000, Chile"
"Sao Paulo, Brazil",-23.5506507,-46.6333824,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil"
"Sao Paulo, Sao Paulo, Brazil",-23.5506507,-46.6333824,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil"
"Saskatoon, Saskatchewan, Canada",52.131802,-106.660767,"Saskatoon, Saskatchewan, Canada"
"Seattle, Washington, USA",47.6038321,-122.330062,"Seattle, King County, Washington, United States of America"
"Seoul, South Korea",37.5666791,126.9782914,"서울특별시, 대한민국"
"Shanghai, Hebei, China",40.1840602,117.5932807,"上海, 东陵满族乡, 遵化市, 唐山市, 河北省, 中国"
"Shenzhen, Guangdong, China",22.5445741,114.0545429,"深圳市, 广东省, 中国"
"Singapore, Singapore",1.357107,103.8194992,Singapore
"Sioux Falls, South Dakota, USA",43.5476008,-96.7293629,"Sioux Falls, Sioux Falls Township, Minnehaha County, South Dakota, United States of America"
"St. Louis, Missouri, USA",38.6280278,-90.1910154,"Saint Louis, Missouri, United States of America"
"Stockholm, Sweden",59.3251172,18.0710935,"Stockholm, Stockholms kommun, Stockholms län, 111 29, Sverige"
"Sunrise, Florida, USA",26.1666888,-80.2787573,"Sunrise, Broward County, Florida, United States of America"
"Sydney, New South Wales, Australia",-33.8698439,151.2082848,"Sydney, Council of the City of Sydney, New South Wales, Australia"
"Tampa, Florida, USA",27.9477595,-82.458444,"Tampa, Hillsborough County, Florida, United States of America"
"Tokyo, Japan",35.6768601,139.7638947,"東京都, 日本"
"Toronto, Ontario, Canada",43.6534817,-79.3839347,"Toronto, Golden Horseshoe, Ontario, Canada"
"Tulsa, Oklahoma, USA",36.1563122,-95.9927516,"Tulsa, Tulsa County, Oklahoma, United States of America"
"Uberlandia, Minas Gerais, Brazil",-18.9188041,-48.2767837,"Uberlândia, Região Geográfica Imediata de Uberlândia, Região Geográfica Intermediária de Uberlândia, Minas Gerais, Região Sudeste, Brasil"
"Uncasville, Connecticut, USA",41.4346637,-72.109987,"Uncasville, Montville, Southeastern Connecticut Planning Region, Connecticut, 06382, United States of America"
"Uniondale, New York, USA",40.7157545,-73.5898872,"Uniondale, Town of Hempstead, Nassau County, New York, United States of America"
"Utica, New York, USA",43.1009031,-75.2326641,"City of Utica, Oneida County, New York, United States of America"
"Vancouver, British Columbia, Canada",49.2608724,-123.113952,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada"
"Washington, DC, USA",38.8950368,-77.0365427,"Washington, District of Columbia, United States of America"
"Wichita, Kansas, USA",37.6922361,-97.3375448,"Wichita, Sedgwick County, Kansas, United States of America"
"Winnipeg, Manitoba, Canada",49.8955367,-97.1384584,"Winnipeg, Manitoba, Canada"
"Yokohama, Kanagawa, Japan",35.4503381,139.6343802,"横浜市, 神奈川県, 231-0017, 日本"
"Zagreb, Croatia",45.8130967,15.9772795,"Grad Zagreb, Hrvatska"
